filepath,label
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug1.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug10.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug11.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug12.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug13.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug14.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug15.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug16.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug17.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug18.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug19.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug2.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug20.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug21.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug22.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug23.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug24.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug25.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug3.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug4.jpg,Bent Knee Surface Arch Position
Augmented\Bent Knee Surface Arch Position\IMG_1388_aug5.jpg,Bent Knee Surface Arch Position
